frame,time_seconds,log_energy,centroid_hz,bandwidth_hz,cepstrum_0,cepstrum_1,cepstrum_2,cepstrum_3,cepstrum_4,cepstrum_5,cepstrum_6,cepstrum_7,cepstrum_8,cepstrum_9,cepstrum_10,cepstrum_11,cepstrum_12,cepstrum_13,cepstrum_14,cepstrum_15,cepstrum_16,cepstrum_17,cepstrum_18,cepstrum_19
56,0.112000,6.184790,1512.923,1497.956,-12.410840,10.850355,-7.526555,4.839164,2.067673,9.980009,-4.176367,2.958666,-1.374056,7.012521,-2.561111,4.201203,0.244192,5.390734,-2.552505,4.460873,0.412105,4.502867,-2.386410,3.215099
57,0.114000,6.258460,1510.266,1492.741,-12.462888,10.864397,-7.376854,4.999144,2.074821,10.117266,-4.356151,3.028438,-1.108415,7.157124,-2.817801,4.051293,0.295264,5.561329,-2.402985,4.373525,0.357124,4.391029,-2.344265,3.369855
58,0.116000,6.319191,1511.753,1490.154,-12.507341,10.916181,-7.226501,5.159300,2.060098,10.234480,-4.542994,3.120745,-0.849605,7.287636,-2.973411,3.956328,0.374498,5.709871,-2.261703,4.301217,0.308832,4.262488,-2.274907,3.503308
59,0.118000,6.366346,1512.573,1486.514,-12.554541,10.982578,-7.104653,5.289903,2.020739,10.337008,-4.714712,3.213216,-0.637228,7.384777,-3.015159,3.905602,0.438872,5.789188,-2.158594,4.255234,0.288428,4.120944,-2.191925,3.607520
60,0.120000,6.400144,1508.831,1478.941,-12.588562,11.057222,-7.026542,5.365829,1.976959,10.460720,-4.818898,3.290154,-0.506530,7.452011,-2.938136,3.886391,0.443501,5.753230,-2.110337,4.251934,0.317471,3.963917,-2.123072,3.675586
61,0.122000,6.421024,1498.095,1465.609,-12.575953,11.159905,-6.968717,5.390493,1.954862,10.626019,-4.801622,3.365244,-0.457057,7.517358,-2.753659,3.883318,0.357128,5.575311,-2.128522,4.287090,0.395410,3.795107,-2.091583,3.692617
62,0.124000,6.429664,1479.543,1445.682,-12.506815,11.309141,-6.875635,5.391493,1.960786,10.797142,-4.661174,3.467441,-0.449658,7.617816,-2.492239,3.880784,0.181885,5.273732,-2.218982,4.321846,0.484474,3.629641,-2.088182,3.652056
63,0.126000,6.426735,1454.209,1419.528,-12.404942,11.497713,-6.713458,5.376975,1.979168,10.902151,-4.467525,3.580473,-0.467359,7.771849,-2.175169,3.881060,-0.055613,4.900687,-2.370062,4.321774,0.536870,3.472560,-2.092306,3.582602
64,0.128000,6.412471,1424.975,1389.072,-12.293556,11.716116,-6.470649,5.348674,2.003254,10.885583,-4.308593,3.654312,-0.523287,7.976496,-1.805448,3.902132,-0.313835,4.531249,-2.544770,4.288372,0.528073,3.314340,-2.106437,3.514683
65,0.130000,6.386558,1396.022,1357.836,-12.173393,11.965723,-6.155319,5.311595,2.032115,10.725065,-4.245685,3.643583,-0.633217,8.214879,-1.392982,3.945491,-0.558000,4.225554,-2.709171,4.241381,0.465093,3.152066,-2.142111,3.464830
