frame,time_seconds,log_energy,centroid_hz,bandwidth_hz,cepstrum_0,cepstrum_1,cepstrum_2,cepstrum_3,cepstrum_4,cepstrum_5,cepstrum_6,cepstrum_7,cepstrum_8,cepstrum_9,cepstrum_10,cepstrum_11,cepstrum_12,cepstrum_13,cepstrum_14,cepstrum_15,cepstrum_16,cepstrum_17,cepstrum_18,cepstrum_19
74,0.148000,1.994791,2811.042,2255.592,-29.322018,10.644108,-1.195736,-0.037910,4.048794,-0.046441,-4.378819,-1.210724,0.509400,-0.611321,0.913222,0.196843,-1.275699,-1.053424,1.190848,-0.296459,0.255184,0.673532,0.884641,-0.090709
75,0.150000,2.021588,2713.084,2275.118,-29.114197,10.794816,-0.796211,0.535375,4.182339,-0.053159,-3.894856,-1.010793,0.327564,-0.709337,1.307845,0.464381,-1.218695,-0.938615,1.643127,-0.158436,-0.122984,0.693255,0.908085,-0.219617
76,0.152000,2.047712,2632.189,2289.154,-28.981396,10.874788,-0.478835,0.999278,4.193903,-0.065651,-3.379666,-0.785085,0.127737,-0.832801,1.608218,0.672459,-1.143853,-0.854757,1.975587,0.024087,-0.473357,0.669965,0.899909,-0.320612
77,0.154000,2.068803,2584.656,2300.778,-28.872692,10.867104,-0.357966,1.348983,4.200224,-0.106724,-2.971444,-0.512868,0.042034,-0.961322,1.750366,0.850427,-0.988087,-0.800484,2.108267,0.259841,-0.698771,0.592780,0.812173,-0.353466
78,0.156000,2.082574,2582.703,2313.917,-28.732822,10.779470,-0.504426,1.579536,4.295867,-0.180965,-2.768090,-0.214948,0.137476,-1.053488,1.705899,0.992983,-0.725480,-0.741302,1.997157,0.494714,-0.748846,0.484834,0.598770,-0.336656
79,0.158000,2.089060,2634.284,2330.962,-28.575796,10.629711,-0.858611,1.696584,4.451081,-0.290987,-2.724947,0.075095,0.317934,-1.067365,1.581868,1.066987,-0.474610,-0.640790,1.728973,0.653168,-0.685964,0.389945,0.304128,-0.317307
80,0.160000,2.090381,2741.904,2350.888,-28.432966,10.424388,-1.339496,1.728221,4.612977,-0.457489,-2.758748,0.352273,0.449171,-1.006351,1.493539,1.044132,-0.375736,-0.492775,1.424514,0.710723,-0.570233,0.329482,-0.009413,-0.301632
81,0.162000,2.089932,2899.843,2368.802,-28.341377,10.167698,-1.882801,1.695396,4.762846,-0.683209,-2.837160,0.607135,0.479200,-0.907605,1.446599,0.905348,-0.470498,-0.317251,1.150837,0.693602,-0.415281,0.310796,-0.285906,-0.276486
82,0.164000,2.091165,3093.327,2378.409,-28.347904,9.867910,-2.428761,1.605078,4.895032,-0.951849,-2.963354,0.816140,0.416435,-0.833444,1.378301,0.654162,-0.719568,-0.150963,0.936480,0.654725,-0.233261,0.323509,-0.464029,-0.222082
83,0.166000,2.096013,3299.603,2376.193,-28.468452,9.536639,-2.943677,1.475605,5.005803,-1.269315,-3.147440,0.967302,0.266636,-0.858036,1.248171,0.320664,-1.057591,-0.012440,0.802105,0.633329,-0.049691,0.340690,-0.519690,-0.122452
84,0.168000,2.103677,3492.772,2364.784,-28.664484,9.206034,-3.408312,1.338056,5.078181,-1.670856,-3.402890,1.060794,0.023609,-1.032886,1.071186,-0.025656,-1.396222,0.116351,0.764910,0.632456,0.087357,0.306103,-0.500689,0.005821
85,0.170000,2.111295,3649.434,2352.531,-28.841961,8.971932,-3.743732,1.266662,5.120731,-2.135041,-3.691238,1.129775,-0.284173,-1.340665,0.898687,-0.299899,-1.644532,0.256647,0.801736,0.593608,0.094877,0.125873,-0.543064,0.070069
86,0.172000,2.115259,3752.722,2349.550,-28.940788,8.899461,-3.871354,1.327427,5.152935,-2.565633,-3.910661,1.225821,-0.604711,-1.717686,0.765917,-0.457881,-1.757639,0.390407,0.839151,0.442946,-0.063512,-0.231033,-0.755387,-0.009086
